DayofMonth,IATA_Code_Marketing_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,CRSDepTime,DepTime,DepDelay,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,ArrTime,ArrDelay,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Div1Airport
1,UA,UA,ORD,IL,Illinois,MIA,FL,Florida,1830,1829,-1,1800-1859,26,1855,2221,22,2243,-2,2200-2259,0,,0,195,194,146,1,1197,,,,,,
1,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,930,933,3,0900-0959,14,947,1107,12,1119,-12,1100-1159,0,,0,181,166,140,1,1005,,,,,,
1,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,850,853,3,0800-0859,24,917,1220,8,1228,-12,1200-1259,0,,0,170,155,123,1,1005,,,,,,
1,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,1219,1221,2,1200-1259,15,1236,1404,15,1419,-1,1400-1459,0,,0,181,178,148,1,1005,,,,,,
1,UA,UA,DEN,CO,Colorado,ATL,GA,Georgia,1720,1720,0,1700-1759,16,1736,2156,5,2201,-15,2200-2259,0,,0,176,161,140,1,1199,,,,,,
1,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,600,557,-3,0600-0659,19,616,751,13,804,2,0800-0859,0,,0,182,187,155,1,1005,,,,,,
1,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,1630,1630,0,1600-1659,17,1647,1818,17,1835,7,1800-1859,0,,0,178,185,151,1,1005,,,,,,
1,UA,UA,DEN,CO,Colorado,CLT,NC,North Carolina,954,951,-3,0900-0959,18,1009,1447,6,1453,-16,1500-1559,0,,0,195,182,158,1,1337,,,,,,
1,UA,UA,CLT,NC,North Carolina,DEN,CO,Colorado,1605,1600,-5,1600-1659,15,1615,1724,10,1734,-24,1700-1759,0,,0,233,214,189,1,1337,,,,,,
1,UA,UA,CLT,NC,North Carolina,DEN,CO,Colorado,807,758,-9,0800-0859,11,809,918,32,950,-10,1000-1059,0,,0,233,232,189,1,1337,,,,,,
1,UA,UA,DEN,CO,Colorado,CLT,NC,North Carolina,1745,1745,0,1700-1759,21,1806,2246,7,2253,-2,2200-2259,0,,0,190,188,160,1,1337,,,,,,
1,UA,UA,ORD,IL,Illinois,LAX,CA,California,710,708,-2,0700-0759,20,728,907,9,916,-34,0900-0959,0,,0,280,248,219,1,1744,,,,,,
1,UA,UA,ORD,IL,Illinois,LAX,CA,California,852,849,-3,0800-0859,18,907,1045,9,1054,-31,1100-1159,0,,0,273,245,218,1,1744,,,,,,
1,UA,UA,ORD,IL,Illinois,LAS,NV,Nevada,920,914,-6,0900-0959,28,942,1054,6,1100,-33,1100-1159,0,,0,253,226,192,1,1514,,,,,,
1,UA,UA,DEN,CO,Colorado,MCO,FL,Florida,825,815,-10,0800-0859,10,825,1312,5,1317,-44,1400-1459,0,,0,216,182,167,1,1546,,,,,,
1,UA,UA,DEN,CO,Colorado,MCO,FL,Florida,1002,957,-5,1000-1059,20,1017,1514,5,1519,-16,1500-1559,0,,0,213,202,177,1,1546,,,,,,
1,UA,UA,ORD,IL,Illinois,LAS,NV,Nevada,1315,1313,-2,1300-1359,17,1330,1438,7,1445,-39,1500-1559,0,,0,249,212,188,1,1514,,,,,,
1,UA,UA,ORD,IL,Illinois,LAX,CA,California,1403,1400,-3,1400-1459,17,1417,1557,6,1603,-39,1600-1659,0,,0,279,243,220,1,1744,,,,,,
1,UA,UA,ORD,IL,Illinois,LAS,NV,Nevada,1545,1544,-1,1500-1559,17,1601,1714,6,1720,-34,1700-1759,0,,0,249,216,193,1,1514,,,,,,
