,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
275711,27,6,NK,NK,CLT,NC,North Carolina,DFW,TX,Texas,-7.0,0.0,0001-0559,-3.0,0.0,0700-0759,0.0,936.0
493154,6,6,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,16.0,16.0,1600-1659,3.0,3.0,1900-1959,0.0,802.0
400884,23,2,UA,UA,ORD,IL,Illinois,ATL,GA,Georgia,60.0,60.0,1000-1059,50.0,50.0,1400-1459,0.0,606.0
391062,25,4,UA,UA,DFW,TX,Texas,ORD,IL,Illinois,-5.0,0.0,1000-1059,-12.0,0.0,1300-1359,0.0,802.0
85338,21,7,WN,WN,ORD,IL,Illinois,DEN,CO,Colorado,5.0,5.0,1400-1459,-7.0,0.0,1600-1659,0.0,888.0
217899,11,4,DL,DL,CLT,NC,North Carolina,ATL,GA,Georgia,9.0,9.0,1700-1759,-9.0,0.0,1900-1959,0.0,226.0
462941,13,6,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,193.0,193.0,0700-0759,194.0,194.0,1000-1059,0.0,641.0
220945,19,5,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,9.0,9.0,1100-1159,-6.0,0.0,1400-1459,0.0,731.0
410814,7,7,UA,UA,ORD,IL,Illinois,DFW,TX,Texas,8.0,8.0,1300-1359,-2.0,0.0,1500-1559,0.0,802.0
210652,24,3,DL,DL,ORD,IL,Illinois,ATL,GA,Georgia,-3.0,0.0,0900-0959,51.0,51.0,1200-1259,0.0,606.0
439973,14,7,DL,9E,CLT,NC,North Carolina,ATL,GA,Georgia,0.0,0.0,1700-1759,-6.0,0.0,1900-1959,0.0,226.0
373740,28,7,UA,UA,ORD,IL,Illinois,ATL,GA,Georgia,-6.0,0.0,1000-1059,-13.0,0.0,1400-1459,0.0,606.0
493944,21,7,AA,AA,ORD,IL,Illinois,ATL,GA,Georgia,87.0,87.0,1800-1859,92.0,92.0,2200-2259,0.0,606.0
